web-scraper-order,web-scraper-start-url,article_ordinateurs_links,article_ordinateurs_links-href,etat_ordinateur,marque_ordinateur,couleur_ordinateurs,processeur_ordinateur,ram_ordinateur,stockage_ordinateur,prix_ordinateur
1738677660-1254,https://www.expat-dakar.com/ordinateurs?page=121,"MACBOOK AIR 2024 13 POUCES AVEC PACK AIRTAG NEUF
                                NeufApple
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        13. déc. '24, 12:57
                                    
                    800 000 F Cfa
                        
                        773695886",https://www.expat-dakar.com/annonce/macbook-air-2024-13-pouces-avec-pack-airtag-neuf-6234345,Neuf,Apple,GRIS,PUCE M3,8GB,256,800 000 F Cfa
1738677665-1255,https://www.expat-dakar.com/ordinateurs?page=121,"MacBook Air 15 Pouces M3 16GB 512 SSD 2024
                                NeufApple
                                                                                    Médina,
                                                                                Dakar
                                    
                                        13. déc. '24, 13:24
                                    
                    1 100 000 F Cfa
                        
                        784459510
                    
                        338421058",https://www.expat-dakar.com/annonce/macbook-air-15-pouces-m3-16gb-512-ssd-2024-6234381,Neuf,Apple,Midnight,M3,16GB,512 SSD,1 100 000 F Cfa
1738677667-1256,https://www.expat-dakar.com/ordinateurs?page=121,"MacBook Pro Fin 2011
                                VenantApple
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        13. déc. '24, 13:35
                                    
                    180 000 F Cfa
                        
                        783870000",https://www.expat-dakar.com/annonce/macbook-pro-fin-2011-6229264,Venant,Apple,Silver,Cor i7,16,1000go,180 000 F Cfa
1738677670-1257,https://www.expat-dakar.com/ordinateurs?page=121,"PC GAMER ARCHITECTE PRO🥇
                                NeufASUS
                                                                                    Liberte 5,
                                                                                Dakar
                                    
                                        13. janv., 14:50
                                    
                    2 500 000 F Cfa
                        
                        778493076",https://www.expat-dakar.com/annonce/pc-gamer-architecte-pro-6234408,Neuf,ASUS,Noire,5.6ghz,32,1000g,2 500 000 F Cfa
1738677673-1258,https://www.expat-dakar.com/ordinateurs?page=121,"Surface Pro 11 Edition ur Snapdragon X Elite
                                NeufMicrosoft Surface
                                                                                    Zone de captage,
                                                                                Dakar
                                    
                                        13. déc. '24, 14:19
                                    
            1 350 000 F Cfa
        
                    1 400 000 F Cfa
                        
            Économisez 3.6%
        
                        776774886
                    
                        762676060
                    
                        776774886",https://www.expat-dakar.com/annonce/surface-pro-11-edition-ur-snapdragon-x-elite-6234433,Neuf,Microsoft Surface,Gris et blanc,Snapdragon X Elite,16GB,1T ssd,1 350 000 F Cfa
1738677678-1259,https://www.expat-dakar.com/ordinateurs?page=120,"Acer Nitro 16 RTX 4060 2024
                                NeufAcer
                                                                                    Médina,
                                                                                Dakar
                                    
                                        dimanche, 19:41
                                    
                    750 000 F Cfa
                        
                        776271240",https://www.expat-dakar.com/annonce/acer-nitro-16-rtx-4060-2024-6216565,Neuf,Acer,Noir,AMD Ryzen 7 7735HS 3.20Ghz,16 Go DDR5,512Go SSD m.2,750 000 F Cfa
1738677681-1260,https://www.expat-dakar.com/ordinateurs?page=120,"MSI GS66 Stealth 🥷 intel core i7 10th gen processor 2.60Ghz
                                VenantMSI
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        13. déc. '24, 15:04
                                    
                    570 000 F Cfa
                        
                        774397758
                    
                        774397758
                    
                        787855796",https://www.expat-dakar.com/annonce/msi-gs66-stealth-intel-core-i7-10th-gen-processor-260ghz-6234469,Venant,MSI,Noir,i7,32Go,512Go,570 000 F Cfa
1738677684-1261,https://www.expat-dakar.com/ordinateurs?page=120,"Mac air 2017
                                NeufApple
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        13. déc. '24, 16:20
                                    
                    170 000 F Cfa
                        
                        770767272
                    
                        338225777",https://www.expat-dakar.com/annonce/mac-air-2017-6234514,Neuf,Apple,Grise,1.8Ghz,8go,128go,170 000 F Cfa
1738677689-1263,https://www.expat-dakar.com/ordinateurs?page=120,"Lenovo thinkpad P14s Gen4 Core i7 13e Gen
                                NeufLenovo
                                                                                    Gueule-Tapée,
                                                                                Dakar
                                    
                                        13. déc. '24, 23:10
                                    
                    520 000 F Cfa
                        
                        780126976
                    
                        778637676",https://www.expat-dakar.com/annonce/lenovo-thinkpad-p14s-gen4-core-i7-13e-gen-6234683,Neuf,Lenovo,Noir,Intel Core i7 de 13e génération,32Go,1000Go SSD,520 000 F Cfa
1738677693-1264,https://www.expat-dakar.com/ordinateurs?page=120,"MACBOOK PRO 2024 M3 PRO 14.2 POUCES
                                NeufApple
                                                                                    Médina,
                                                                                Dakar
                                    
                                        18. janv., 01:51
                                    
                    1 350 000 F Cfa
                        
                        784459510
                    
                        338421058",https://www.expat-dakar.com/annonce/macbook-pro-2024-m3-pro-142-pouces-6156112,Neuf,Apple,Noir,M3,18GB,512 SSD,1 350 000 F Cfa
1738677695-1265,https://www.expat-dakar.com/ordinateurs?page=120,"Ordinateur Hp core i5 Neuf
                                NeufHP
                                                                                    Gibraltar,
                                                                                Dakar
                                    
                                        14. déc. '24, 00:22
                                    
                    380 000 F Cfa
                        
                        778010646
                    
                        762015161",https://www.expat-dakar.com/annonce/ordinateur-hp-core-i5-neuf-6234698,Neuf,HP,Gris,Intel core i5,16giga,SSD 256giga,380 000 F Cfa
1738677698-1266,https://www.expat-dakar.com/ordinateurs?page=120,"DELL Latitude 3410 Cor i5 Tactile
                                NeufDell
                                                                                    Médina,
                                                                                Dakar
                                    
                                        14. déc. '24, 10:19
                                    
                    200 000 F Cfa
                        
                        776088787",https://www.expat-dakar.com/annonce/dell-latitude-3410-cor-i5-tactile-6234885,Neuf,Dell,GRISE,i5,16,256 et 500,200 000 F Cfa
1738677701-1267,https://www.expat-dakar.com/ordinateurs?page=120,"DELL Inspiron 3580 Cor i5 ""GAMER""
                                VenantDell
                                                                                    Médina,
                                                                                Dakar
                                    
                                        14. déc. '24, 10:26
                                    
                    175 000 F Cfa
                        
                        776088787",https://www.expat-dakar.com/annonce/dell-inspiron-3580-cor-i5-gamer-6228017,Venant,Dell,NOIRE,i5,16,256 et 500,175 000 F Cfa
1738677704-1268,https://www.expat-dakar.com/ordinateurs?page=120,"DELL Précision 5540 Cor i7 ""GAMER""
                                NeufDell
                                                                                    Médina,
                                                                                Dakar
                                    
                                        14. déc. '24, 10:27
                                    
                    350 000 F Cfa
                        
                        776088787",https://www.expat-dakar.com/annonce/dell-precision-5540-cor-i7-gamer-6228032,Neuf,Dell,GRISE,i7,32,1000,350 000 F Cfa
1738677710-1269,https://www.expat-dakar.com/ordinateurs?page=119,"Lonovo t490 i5/512Go/16Go
                                VenantLenovo
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        15. déc. '24, 23:36
                                    
                    190 000 F Cfa
                        
                        770767272
                    
                        338225777",https://www.expat-dakar.com/annonce/lonovo-t490-i5512go16go-6233858,Venant,Lenovo,Noir,2.11Ghz,16Go,512Go,190 000 F Cfa
1738677713-1270,https://www.expat-dakar.com/ordinateurs?page=119,"Promo☄️Hp EliteBook 840 Corei5
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        14. déc. '24, 11:56
                                    
                    150 000 F Cfa
                        
                        772469375
                    
                        338428630",https://www.expat-dakar.com/annonce/promohp-elitebook-840-corei5-6234982,Neuf,HP,Grise,Corei5,8,256Giga ssd,150 000 F Cfa
1738677716-1271,https://www.expat-dakar.com/ordinateurs?page=119,"Lenevo Thinkpad T14 Gen4 i7/32/512 13Th Gen
                                NeufLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        14. déc. '24, 12:04
                                    
                    650 000 F Cfa
                        
                        772469375
                    
                        338428630",https://www.expat-dakar.com/annonce/lenevo-thinkpad-t14-gen4-i732512-13th-gen-6234985,Neuf,Lenovo,Noire,Corei7,16,512Giga Ssd NVMe,650 000 F Cfa
1738677718-1272,https://www.expat-dakar.com/ordinateurs?page=119,"MacBook Pro Touchbar Corei7 512/16
                                NeufApple
                                                                                    Médina,
                                                                                Dakar
                                    
                                        14. déc. '24, 12:16
                                    
                    400 000 F Cfa
                        
                        772469375
                    
                        338428630",https://www.expat-dakar.com/annonce/macbook-pro-touchbar-corei7-51216-6234991,Neuf,Apple,Gris,Corei7,16,512Giga Ssd,400 000 F Cfa
1738677729-1275,https://www.expat-dakar.com/ordinateurs?page=119,"Lenovo Thinkpad X1 Carbon Gen11 i7/1To/32 13Th Gen
                                NeufLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        14. déc. '24, 17:34
                                    
                    750 000 F Cfa
                        
                        772469375
                    
                        338428630",https://www.expat-dakar.com/annonce/lenovo-thinkpad-x1-carbon-gen11-i71to32-13th-gen-6235148,Neuf,Lenovo,Noire,Corei7,32,1To ssd,750 000 F Cfa
1738677742-1279,https://www.expat-dakar.com/ordinateurs?page=118,"DELL7480
                                RéconditionnéDell
                                                                                    Gueule-Tapée,
                                                                                Dakar
                                    
                                        15. déc. '24, 08:49
                                    
                    140 000 F Cfa
                        
                        765644956",https://www.expat-dakar.com/annonce/dell7480-6235214,Réconditionné,Dell,Noir,Core i5,8Gb,256Gb,140 000 F Cfa
1738677748-1281,https://www.expat-dakar.com/ordinateurs?page=118,"MacBook Air M1
                                NeufApple
                                                                                    Zone de captage,
                                                                                Dakar
                                    
                                        15. déc. '24, 10:04
                                    
                    450 000 F Cfa
                        
                        776774886
                    
                        762676060
                    
                        776774886",https://www.expat-dakar.com/annonce/macbook-air-m1-6235351,Neuf,Apple,Silver,M1,8Gb,256 ssd,450 000 F Cfa
1738677750-1282,https://www.expat-dakar.com/ordinateurs?page=118,"MacBook Air m3 2024
                                VenantApple
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        15. déc. '24, 10:06
                                    
                    700 000 F Cfa
                        
                        773683555
                    
                        773683555
                    
                        776829192",https://www.expat-dakar.com/annonce/macbook-air-m3-2024-6235353,Venant,Apple,Bleu,M3,8,256,700 000 F Cfa
1738677755-1284,https://www.expat-dakar.com/ordinateurs?page=118,"HP Elitebook 860 G10 cor i7 de 13th gen
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        15. déc. '24, 12:26
                                    
                    650 000 F Cfa
                        
                        772241985
                    
                        774836565",https://www.expat-dakar.com/annonce/hp-elitebook-860-g10-cor-i7-de-13th-gen-6177826,Neuf,HP,Alluminium,Intel cor i7 de 13th gen,16g,512ssd,650 000 F Cfa
1738677758-1285,https://www.expat-dakar.com/ordinateurs?page=118,"MacBook Pro M3 Pro chip 12‑core CPU, 36GB Ram, 1TB SSD,
                                NeufApple
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        15. déc. '24, 14:22
                                    
                    1 450 000 F Cfa
                        
                        779096699
                    
                        775706666",https://www.expat-dakar.com/annonce/macbook-pro-m3-pro-chip-12core-cpu-36gb-ram-1tb-ssd-6214939,Neuf,Apple,NOIR,M3 PRO,36GB,1TB,1 450 000 F Cfa
1738677761-1286,https://www.expat-dakar.com/ordinateurs?page=118,"HP Laptop 15s Core i5 de 12ème génération
                                NeufHP
                                                                                    Gueule-Tapée,
                                                                                Dakar
                                    
                                        15. déc. '24, 17:59
                                    
                    280 000 F Cfa
                        
                        780126976
                    
                        778637676",https://www.expat-dakar.com/annonce/hp-laptop-15s-core-i5-de-12eme-generation-6235551,Neuf,HP,Gris,Intel core i5 de 12e génération,8Go,512Go SSD,280 000 F Cfa
1738677763-1287,https://www.expat-dakar.com/ordinateurs?page=118,"Hp x360 Ram 16Go ssd 512Go
                                NeufHP
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        15. déc. '24, 18:02
                                    
                    300 000 F Cfa
                        
                        785329088",https://www.expat-dakar.com/annonce/hp-x360-ram-16go-ssd-512go-6235554,Neuf,HP,Blanc,Core i5,16Go,512Go,300 000 F Cfa
1738677774-1290,https://www.expat-dakar.com/ordinateurs?page=117,"Dell latitude e 7410
                                NeufDell
                                                                                    Médina,
                                                                                Dakar
                                    
                                        15. déc. '24, 23:51
                                    
                    235 000 F Cfa
                        
                        771758304
                    
                        779774670",https://www.expat-dakar.com/annonce/dell-latitude-e-7410-6235650,Neuf,Dell,Noir,i5,16,256g,235 000 F Cfa
1738677791-1294,https://www.expat-dakar.com/ordinateurs?page=117,"Dell latitude e 4370
                                VenantDell
                                                                                    Médina,
                                                                                Dakar
                                    
                                        16. déc. '24, 08:17
                                    
                    120 000 F Cfa
                        
                        771758304
                    
                        779774670",https://www.expat-dakar.com/annonce/dell-latitude-e-4370-6235667,Venant,Dell,Noir,i5,8,500,120 000 F Cfa
1738677795-1295,https://www.expat-dakar.com/ordinateurs?page=117,"Dell 7420
                                NeufDell
                                                                                    Médina,
                                                                                Dakar
                                    
                                        16. déc. '24, 08:18
                                    
                    235 000 F Cfa
                        
                        771758304
                    
                        779774670",https://www.expat-dakar.com/annonce/dell-7420-6235666,Neuf,Dell,Noir matte,Intel i5,16,256,235 000 F Cfa
1738677798-1296,https://www.expat-dakar.com/ordinateurs?page=117,"Ordinateur Hp Core i5 Promo fin d'année
                                RéconditionnéHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        16. déc. '24, 08:21
                                    
                    149 900 F Cfa
                        
                        778010646
                    
                        762015161",https://www.expat-dakar.com/annonce/ordinateur-hp-core-i5-promo-fin-dannee-6235487,Réconditionné,HP,Noir,Intel core i5,8giga,500giga,149 900 F Cfa
1738677805-1297,https://www.expat-dakar.com/ordinateurs?page=117,"HP Envy 17 i7 13th gen 32GB ram 1TB ssd
                                VenantHP
                                                                                    Sicap foire,
                                                                                Dakar
                                    
                                        7. janv., 09:53
                                    
                    630 000 F Cfa
                        
                        778797310",https://www.expat-dakar.com/annonce/hp-envy-17-i7-13th-gen-32gb-ram-1tb-ssd-6235806,Venant,HP,Grise,Intel Core i7-13th-gen,32Go,1000GB SSD,630 000 F Cfa
1738677808-1298,https://www.expat-dakar.com/ordinateurs?page=117,"HP 15-dw0008nl Intel Core i5 8GB ram 500GB ssd
                                VenantHP
                                                                                    Sicap foire,
                                                                                Dakar
                                    
                                        16. déc. '24, 08:56
                                    
                    160 000 F Cfa
                        
                        778797310",https://www.expat-dakar.com/annonce/hp-15-dw0008nl-intel-core-i5-8gb-ram-500gb-ssd-6235820,Venant,HP,Grise,Intel Core i5,8GB,500GB SSD,160 000 F Cfa
1738677813-1299,https://www.expat-dakar.com/ordinateurs?page=116,"DELL Latitude 5440 Cor i7 13ème Gén
                                NeufDell
                                                                                    Médina,
                                                                                Dakar
                                    
                                        16. déc. '24, 10:24
                                    
                    325 000 F Cfa
                        
                        776088787",https://www.expat-dakar.com/annonce/dell-latitude-5440-cor-i7-13eme-gen-6235897,Neuf,Dell,GRISE,i7,16,512,325 000 F Cfa
1738677816-1300,https://www.expat-dakar.com/ordinateurs?page=116,"Mac book M4Pro 512giga Ram24 14 pouce
                                NeufApple
                                                                                    Médina,
                                                                                Dakar
                                    
                                        16. déc. '24, 10:35
                                    
                                            Vendeur vérifié
                                        
                    1 620 000 F Cfa
                        
                        768424949
                    
                        777605183
                    
                        768424949",https://www.expat-dakar.com/annonce/mac-book-m4pro-512giga-ram24-14-pouce-6201845,Neuf,Apple,Blackmagic,M4,24,512,1 620 000 F Cfa
1738677818-1301,https://www.expat-dakar.com/ordinateurs?page=116,"SURFACE PRO 7 INTEL CORE I5
                                VenantMicrosoft Surface
                                                                                    Médina,
                                                                                Dakar
                                    
                                        16. déc. '24, 10:46
                                    
                    240 000 F Cfa
                        
                        775350110",https://www.expat-dakar.com/annonce/surface-pro-7-intel-core-i5-6235911,Venant,Microsoft Surface,GRIS,I5,8GO,128SSD,240 000 F Cfa
1738677821-1302,https://www.expat-dakar.com/ordinateurs?page=116,"HP Laptop 15 Core i7 ssd 512 Gb Ram 32 Gb
                                NeufHP
                                                                                    Cambérène,
                                                                                Dakar
                                    
                                        16. déc. '24, 10:49
                                    
                    375 000 F Cfa
                        
                        776356194
                    
                        776356194",https://www.expat-dakar.com/annonce/hp-laptop-15-core-i7-ssd-512-gb-ram-32-gb-6231314,Neuf,HP,Gris,I7,32,512,375 000 F Cfa
1738677824-1303,https://www.expat-dakar.com/ordinateurs?page=116,"Mac Book Pro M1
                                VenantApple
                                                                                    Cambérène,
                                                                                Dakar
                                    
                                        16. déc. '24, 10:49
                                    
                    450 000 F Cfa
                        
                        776356194
                    
                        776356194",https://www.expat-dakar.com/annonce/mac-book-pro-m1-6225797,Venant,Apple,Gris,M1,8,256,450 000 F Cfa
1738677829-1305,https://www.expat-dakar.com/ordinateurs?page=116,"Acer aspire 5 I7-11gen/12go/512ssd
                                NeufAcer
                                                                                    Médina,
                                                                                Dakar
                                    
                                        16. déc. '24, 11:12
                                    
                    400 000 F Cfa
                        
                        775350110",https://www.expat-dakar.com/annonce/acer-aspire-5-i7-11gen12go512ssd-5370941,Neuf,Acer,gris,I7,12 go,512 ssd,400 000 F Cfa
1738677832-1306,https://www.expat-dakar.com/ordinateurs?page=116,"HP Pro Book 460 G11 - Ultra 7 | 16GB RAM | 512
                                NeufHP
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        mercredi, 14:58
                                    
                    650 000 F Cfa
                        
                        779096699
                    
                        775706666",https://www.expat-dakar.com/annonce/hp-pro-book-460-g11-ultra-7-16gb-ram-512-6235984,Neuf,HP,Gris,Ultra 7,16,512,650 000 F Cfa
1738677834-1307,https://www.expat-dakar.com/ordinateurs?page=116,"Promo☄️Hp EliteBook 840 Corei5
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        16. déc. '24, 11:41
                                    
                    150 000 F Cfa
                        
                        772469375
                    
                        338428630",https://www.expat-dakar.com/annonce/promohp-elitebook-840-corei5-6236018,Neuf,HP,Grise,Corei5,8,256Giga ssd,150 000 F Cfa
1738677837-1308,https://www.expat-dakar.com/ordinateurs?page=116,"HP 15S-FQ0008NIA INTEL DUAL CORE 8GB/512GB SSD 15''
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        16. déc. '24, 11:50
                                    
                                            Vendeur vérifié
                                        
                    210 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/hp-15s-fq0008nia-intel-dual-core-8gb512gb-ssd-15-6236020,Neuf,HP,gris métal,duo core,8,512 go ssd,210 000 F Cfa
1738677842-1309,https://www.expat-dakar.com/ordinateurs?page=115,"Lenovo Thinkpad T14s Gen4 13Th Gen
                                NeufLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        16. déc. '24, 12:02
                                    
                    450 000 F Cfa
                        
                        772469375
                    
                        338428630",https://www.expat-dakar.com/annonce/lenovo-thinkpad-t14s-gen4-13th-gen-6236046,Neuf,Lenovo,Noire,Corei5,16,512Giga Ssd NVMe,450 000 F Cfa
1738677845-1310,https://www.expat-dakar.com/ordinateurs?page=115,"Hp Envy 15 2in1 Corei7 512ssd Ram16
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        16. déc. '24, 12:30
                                    
                    400 000 F Cfa
                        
                        772469375
                    
                        338428630",https://www.expat-dakar.com/annonce/hp-envy-15-2in1-corei7-512ssd-ram16-6236076,Neuf,HP,Gris,Corei7,16,512Giga Ssd,400 000 F Cfa
1738677847-1311,https://www.expat-dakar.com/ordinateurs?page=115,"Surface laptop 4
                                VenantMicrosoft Surface
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        11. déc. '24, 23:18
                                    
                    300 000 F Cfa
                        
                        781459921
                    
                        781459921",https://www.expat-dakar.com/annonce/surface-laptop-4-6233050,Venant,Microsoft Surface,Gris,AMD RYZEN 5 pro,16,256,300 000 F Cfa
1738677853-1313,https://www.expat-dakar.com/ordinateurs?page=115,"Promo Lenovo X395 Ryzen 7 3700U
                                VenantLenovo
                                                                                    Hlm,
                                                                                Dakar
                                    
                                        16. déc. '24, 18:05
                                    
                    195 000 F Cfa
                        
                        771510586",https://www.expat-dakar.com/annonce/promo-lenovo-x395-ryzen-7-3700u-6236335,Venant,Lenovo,Noir,Ryzen 7,16go,256go,195 000 F Cfa
1738677858-1315,https://www.expat-dakar.com/ordinateurs?page=115,"Microsoft Surface Pro 11 X Élite 16/1To
                                NeufMicrosoft Surface
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        17. déc. '24, 01:56
                                    
                    1 150 000 F Cfa
                        
                        779886060",https://www.expat-dakar.com/annonce/microsoft-surface-pro-11-x-elite-161to-6236453,Neuf,Microsoft Surface,Noir,Snapdragon X Élite,16gb,1To,1 150 000 F Cfa
1738677860-1316,https://www.expat-dakar.com/ordinateurs?page=115,"MacBook Pro M3 Pro 2023 14“ Pouces
                                NeufApple
                                                                                    Médina,
                                                                                Dakar
                                    
                                        18. janv., 01:50
                                    
                    1 350 000 F Cfa
                        
                        784459510
                    
                        338421058",https://www.expat-dakar.com/annonce/macbook-pro-m3-pro-2023-14-pouces-6236454,Neuf,Apple,Space black,M3,18GB,512 SSD,1 350 000 F Cfa
1738677871-1319,https://www.expat-dakar.com/ordinateurs?page=114,"Dell Latitude 5420 I3/16Go/256ssd
                                NeufDell
                                                                                    Médina,
                                                                                Dakar
                                    
                                        17. déc. '24, 11:30
                                    
                    200 000 F Cfa
                        
                        775350110",https://www.expat-dakar.com/annonce/dell-latitude-5420-i316go256ssd-6236865,Neuf,Dell,GRIS,I3-11GEN,16GO,256SSD,200 000 F Cfa
1738677877-1321,https://www.expat-dakar.com/ordinateurs?page=114,"MacBook Air M3 2024
                                VenantApple
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        17. déc. '24, 12:37
                                    
                    650 000 F Cfa
                        
                        776026565",https://www.expat-dakar.com/annonce/macbook-air-m3-2024-6236951,Venant,Apple,Midnight,M3,8Go,256Go,650 000 F Cfa
1738677882-1323,https://www.expat-dakar.com/ordinateurs?page=114,"Del xsp 13 plus 12th 4k tactile 1to
                                NeufDell
                                                                                    Derkle,
                                                                                Dakar
                                    
                                        17. déc. '24, 16:34
                                    
                    600 000 F Cfa
                        
                        779077949
                    
                        769455248",https://www.expat-dakar.com/annonce/del-xsp-13-plus-12th-4k-tactile-1to-6221048,Neuf,Dell,Noir,Core i7,16go,1to,600 000 F Cfa
1738677884-1324,https://www.expat-dakar.com/ordinateurs?page=114,"Dell latitude 7300
                                VenantDell
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        17. déc. '24, 16:35
                                    
                    140 000 F Cfa
                        
                        775102924
                    
                        774736944
                    
                        771425456",https://www.expat-dakar.com/annonce/dell-latitude-7300-6231146,Venant,Dell,Gris,Core i5,8,512Go,140 000 F Cfa
1738677890-1326,https://www.expat-dakar.com/ordinateurs?page=114,"Hp 250 13e génération
                                VenantHP
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        17. déc. '24, 18:26
                                    
                    180 000 F Cfa
                        
                        775102924
                    
                        774736944
                    
                        771425456",https://www.expat-dakar.com/annonce/hp-250-13e-generation-6237239,Venant,HP,Gris,Core i5,8Go,256Go,180 000 F Cfa
1738677892-1327,https://www.expat-dakar.com/ordinateurs?page=114,"Lenovo L14 Gen 4   i7 13th gen / 64GB / 512 ssd
                                NeufLenovo
                                                                                    Zone de captage,
                                                                                Dakar
                                    
                                        17. déc. '24, 20:27
                                    
                    750 000 F Cfa
                        
                        776774886
                    
                        762676060
                    
                        776774886",https://www.expat-dakar.com/annonce/lenovo-l14-gen-4-i7-13th-gen-64gb-512-ssd-6237289,Neuf,Lenovo,Niore,Core i7 13th gen,64GB,512 ssd,750 000 F Cfa
1738677895-1328,https://www.expat-dakar.com/ordinateurs?page=114,"HP ELITE X2 / CORE m5
                                VenantHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        18. déc. '24, 06:32
                                    
                                            Vendeur vérifié
                                        
                    115 000 F Cfa
                        
                        778254000
                    
                        777779191
                    
                        338221257",https://www.expat-dakar.com/annonce/hp-elite-x2-core-m5-6229781,Venant,HP,GRIS,CORE m5,8 Go,128 Go SSD,115 000 F Cfa
1738677901-1329,https://www.expat-dakar.com/ordinateurs?page=113,"Dell XPS 15 9530 Core i7 de 13e Gen
                                NeufDell
                                                                                    Gueule-Tapée,
                                                                                Dakar
                                    
                                        18. déc. '24, 08:20
                                    
                    850 000 F Cfa
                        
                        780126976
                    
                        778637676",https://www.expat-dakar.com/annonce/dell-xps-15-9530-core-i7-de-13e-gen-6219144,Neuf,Dell,Gris,Intel core i7 13e génération,16Go,1To SSD,850 000 F Cfa
1738677904-1330,https://www.expat-dakar.com/ordinateurs?page=113,"Lenovo IdeaPad 15
                                D'occasionLenovo
                                                                                    Pikine,
                                                                                Dakar
                                    
                                        18. déc. '24, 08:24
                                    
                    120 000 F Cfa
                        
                        778572929
                    
                        708318141
                    
                        778107380",https://www.expat-dakar.com/annonce/lenovo-ideapad-15-6237373,D'occasion,Lenovo,Grise,Core i3,8gb,256,120 000 F Cfa
1738677906-1331,https://www.expat-dakar.com/ordinateurs?page=113,"Asus VivoBook 15
                                NeufASUS
                                                                                    Pikine,
                                                                                Dakar
                                    
                                        18. déc. '24, 08:24
                                    
                    320 000 F Cfa
                        
                        778572929
                    
                        708318141
                    
                        778107380",https://www.expat-dakar.com/annonce/asus-vivobook-15-6237372,Neuf,ASUS,Grise,i7,16gb,512gb,320 000 F Cfa
1738677909-1332,https://www.expat-dakar.com/ordinateurs?page=113,"HP Laptop 15
                                D'occasionHP
                                                                                    Pikine,
                                                                                Dakar
                                    
                                        18. déc. '24, 08:24
                                    
                    300 000 F Cfa
                        
                        778572929
                    
                        708318141
                    
                        778107380",https://www.expat-dakar.com/annonce/hp-laptop-15-6237371,D'occasion,HP,Grise,i5 13em,16,512,300 000 F Cfa
1738677914-1334,https://www.expat-dakar.com/ordinateurs?page=113,"Promo☄️Hp EliteBook 840 Corei5 Ram8 256ssd
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        18. déc. '24, 11:58
                                    
                    150 000 F Cfa
                        
                        772469375
                    
                        338428630",https://www.expat-dakar.com/annonce/promohp-elitebook-840-corei5-ram8-256ssd-6237800,Neuf,HP,Grise,Corei5,8,256Giga ssd,150 000 F Cfa
1738677917-1335,https://www.expat-dakar.com/ordinateurs?page=113,"Lenovo X1 Carbon Gen11 i7/1To/32 13Th Gen
                                NeufLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        18. déc. '24, 12:02
                                    
                    750 000 F Cfa
                        
                        772469375
                    
                        338428630",https://www.expat-dakar.com/annonce/lenovo-x1-carbon-gen11-i71to32-13th-gen-6237803,Neuf,Lenovo,Noire,Corei7,32,1To ssd M.2,750 000 F Cfa
1738677925-1338,https://www.expat-dakar.com/ordinateurs?page=113,"Mac Air 2020 I3 ram 8go ssd 256go Écran 13pouces rétina
                                VenantApple
                                                                                    Hlm,
                                                                                Dakar
                                    
                                        18. déc. '24, 12:50
                                    
                    300 000 F Cfa
                        
                        771510586",https://www.expat-dakar.com/annonce/mac-air-2020-i3-ram-8go-ssd-256go-ecran-13pouces-retina-6237842,Venant,Apple,Gris,I3 2020,8go,256go,300 000 F Cfa
